,Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo,Provincia
71,2022,1,245554.0,30.0,245584.0,,Tucumán
72,2021,4,4502772.0,6.385,4509157.0,,Buenos Aires
73,2021,4,1409935.0,2.184,1412119.0,,Capital Federal
74,2021,4,59089.0,1.0,59090.0,,Catamarca
75,2021,4,143740.0,5.0,143745.0,,Chaco
76,2021,4,159364.0,944.0,160308.0,,Chubut
77,2021,4,986693.0,77.0,986770.0,,Córdoba
78,2021,4,135908.0,4.0,135912.0,,Corrientes
79,2021,4,265024.0,22.0,265046.0,,Entre Ríos
80,2021,4,53663.0,0.0,53663.0,,Formosa
81,2021,4,113915.0,0.0,113915.0,,Jujuy
82,2021,4,106834.0,173.0,107007.0,,La Pampa
83,2021,4,83124.0,4.0,83128.0,,La Rioja
84,2021,4,266783.0,804.0,267587.0,,Mendoza
85,2021,4,171132.0,0.0,171132.0,,Misiones
86,2021,4,146989.0,477.0,147466.0,,Neuquén
87,2021,4,153189.0,564.0,153753.0,,Río Negro
88,2021,4,199399.0,6.0,199405.0,,Salta
89,2021,4,79667.0,291.0,79958.0,,San Juan
90,2021,4,118662.0,187.0,118849.0,,San Luis
91,2021,4,48276.0,210.0,48486.0,,Santa Cruz
92,2021,4,866265.0,176.0,866441.0,,Santa Fe
93,2021,4,115859.0,2.0,115861.0,,Santiago Del Estero
94,2021,4,52042.0,315.0,52357.0,,Tierra Del Fuego
95,2021,4,238609.0,30.0,238639.0,,Tucumán
96,2021,3,4246425.0,5.184,4251609.0,,Buenos Aires
97,2021,3,1411797.0,1.608,1413405.0,,Capital Federal
98,2021,3,56253.0,1.0,56254.0,,Catamarca
99,2021,3,139868.0,3.0,139871.0,,Chaco
100,2021,3,155266.0,800.0,156066.0,,Chubut
101,2021,3,946726.0,62.0,946788.0,,Córdoba
102,2021,3,133816.0,3.0,133819.0,,Corrientes
103,2021,3,260360.0,15.0,260375.0,,Entre Ríos
104,2021,3,52795.0,0.0,52795.0,,Formosa
105,2021,3,111158.0,0.0,111158.0,,Jujuy
106,2021,3,100371.0,116.0,100487.0,,La Pampa
107,2021,3,82157.0,3.0,82160.0,,La Rioja
108,2021,3,255320.0,619.0,255939.0,,Mendoza
109,2021,3,158528.0,0.0,158528.0,,Misiones
110,2021,3,139436.0,373.0,139809.0,,Neuquén
111,2021,3,144084.0,501.0,144585.0,,Río Negro
112,2021,3,195831.0,2.0,195833.0,,Salta
113,2021,3,79227.0,256.0,79483.0,,San Juan
114,2021,3,117716.0,148.0,117864.0,,San Luis
115,2021,3,48779.0,197.0,48976.0,,Santa Cruz
116,2021,3,841433.0,151.0,841584.0,,Santa Fe
117,2021,3,115457.0,1.0,115458.0,,Santiago Del Estero
118,2021,3,49934.0,289.0,50223.0,,Tierra Del Fuego
119,2021,3,232447.0,25.0,232472.0,,Tucumán
120,2021,2,4127167.0,5.184,4132351.0,,Buenos Aires
121,2021,2,1398747.0,1.608,1400355.0,,Capital Federal
122,2021,2,55743.0,1.0,55744.0,,Catamarca
123,2021,2,140726.0,3.0,140729.0,,Chaco
124,2021,2,138412.0,825.0,139237.0,,Chubut
125,2021,2,930818.0,62.0,930880.0,,Córdoba
126,2021,2,129498.0,3.0,129501.0,,Corrientes
127,2021,2,257617.0,15.0,257632.0,,Entre Ríos
128,2021,2,51551.0,0.0,51551.0,,Formosa
129,2021,2,111848.0,0.0,111848.0,,Jujuy
130,2021,2,97551.0,116.0,97667.0,,La Pampa
131,2021,2,81599.0,3.0,81602.0,,La Rioja
132,2021,2,229052.0,619.0,229671.0,,Mendoza
133,2021,2,156176.0,0.0,156176.0,,Misiones
134,2021,2,137877.0,373.0,138250.0,,Neuquén
135,2021,2,143583.0,501.0,144084.0,,Río Negro
136,2021,2,191637.0,2.0,191639.0,,Salta
137,2021,2,78677.0,256.0,78933.0,,San Juan
138,2021,2,122670.0,148.0,122818.0,,San Luis
139,2021,2,48785.0,197.0,48982.0,,Santa Cruz
140,2021,2,840449.0,151.0,840600.0,,Santa Fe
141,2021,2,114089.0,1.0,114090.0,,Santiago Del Estero
142,2021,2,35404.0,289.0,35693.0,,Tierra Del Fuego
143,2021,2,233026.0,25.0,233051.0,,Tucumán
144,2021,1,4054936.0,5.066,4060002.0,,Buenos Aires
145,2021,1,1378283.0,1.39,1379673.0,,Capital Federal
146,2021,1,51967.0,1.0,51968.0,,Catamarca
147,2021,1,139767.0,3.0,139770.0,,Chaco
148,2021,1,131515.0,825.0,132340.0,,Chubut
149,2021,1,910826.0,55.0,910881.0,,Córdoba
150,2021,1,126622.0,3.0,126625.0,,Corrientes
151,2021,1,251950.0,13.0,251963.0,,Entre Ríos
152,2021,1,50686.0,0.0,50686.0,,Formosa
153,2021,1,110456.0,0.0,110456.0,,Jujuy
154,2021,1,96989.0,116.0,97105.0,,La Pampa
155,2021,1,52625.0,3.0,52628.0,,La Rioja
156,2021,1,218308.0,615.0,218923.0,,Mendoza
157,2021,1,149387.0,0.0,149387.0,,Misiones
158,2021,1,132862.0,373.0,133235.0,,Neuquén
159,2021,1,140667.0,501.0,141168.0,,Río Negro
160,2021,1,187572.0,2.0,187574.0,,Salta
161,2021,1,78011.0,256.0,78267.0,,San Juan
162,2021,1,119006.0,148.0,119154.0,,San Luis
163,2021,1,45868.0,197.0,46065.0,,Santa Cruz
164,2021,1,825990.0,137.0,826127.0,,Santa Fe
165,2021,1,111640.0,1.0,111641.0,,Santiago Del Estero
166,2021,1,40133.0,289.0,40422.0,,Tierra Del Fuego
167,2021,1,231890.0,22.0,231912.0,,Tucumán
168,2020,4,4028195.0,5.066,4033261.0,,Buenos Aires
169,2020,4,1378140.0,1.39,1379530.0,,Capital Federal
170,2020,4,52395.0,1.0,52396.0,,Catamarca
171,2020,4,139088.0,3.0,139091.0,,Chaco
172,2020,4,129749.0,825.0,130574.0,,Chubut
173,2020,4,902646.0,55.0,902701.0,,Córdoba
174,2020,4,125656.0,3.0,125659.0,,Corrientes
175,2020,4,247368.0,13.0,247381.0,,Entre Ríos
176,2020,4,50206.0,0.0,50206.0,,Formosa
177,2020,4,105851.0,0.0,105851.0,,Jujuy
178,2020,4,96779.0,116.0,96895.0,,La Pampa
179,2020,4,52775.0,3.0,52778.0,,La Rioja
180,2020,4,214838.0,615.0,215453.0,,Mendoza
181,2020,4,147161.0,0.0,147161.0,,Misiones
182,2020,4,132762.0,373.0,133135.0,,Neuquén
183,2020,4,140709.0,501.0,141210.0,,Río Negro
184,2020,4,187388.0,2.0,187390.0,,Salta
185,2020,4,72340.0,256.0,72596.0,,San Juan
186,2020,4,119287.0,148.0,119435.0,,San Luis
187,2020,4,40477.0,197.0,40674.0,,Santa Cruz
188,2020,4,820676.0,137.0,820813.0,,Santa Fe
189,2020,4,106668.0,1.0,106669.0,,Santiago Del Estero
190,2020,4,39325.0,289.0,39614.0,,Tierra Del Fuego
191,2020,4,231067.0,22.0,231089.0,,Tucumán
192,2020,3,3932211.0,5.066,3937277.0,,Buenos Aires
193,2020,3,1371285.0,1.39,1372675.0,,Capital Federal
194,2020,3,49903.0,1.0,49904.0,,Catamarca
195,2020,3,133951.0,3.0,133954.0,,Chaco
196,2020,3,129202.0,825.0,130027.0,,Chubut
197,2020,3,867417.0,55.0,867472.0,,Córdoba
198,2020,3,123388.0,3.0,123391.0,,Corrientes
199,2020,3,241482.0,13.0,241495.0,,Entre Ríos
200,2020,3,49209.0,0.0,49209.0,,Formosa
201,2020,3,106728.0,0.0,106728.0,,Jujuy
202,2020,3,93619.0,116.0,93735.0,,La Pampa
203,2020,3,52613.0,3.0,52616.0,,La Rioja
204,2020,3,207173.0,615.0,207788.0,,Mendoza
205,2020,3,143186.0,0.0,143186.0,,Misiones
206,2020,3,128862.0,373.0,129235.0,,Neuquén
207,2020,3,130966.0,501.0,131467.0,,Río Negro
208,2020,3,180844.0,2.0,180846.0,,Salta
209,2020,3,77071.0,256.0,77327.0,,San Juan
210,2020,3,116417.0,148.0,116565.0,,San Luis
211,2020,3,39084.0,197.0,39281.0,,Santa Cruz
212,2020,3,802861.0,137.0,802998.0,,Santa Fe
213,2020,3,105491.0,1.0,105492.0,,Santiago Del Estero
214,2020,3,39366.0,289.0,39655.0,,Tierra Del Fuego
215,2020,3,223854.0,22.0,223876.0,,Tucumán
216,2020,2,3772480.0,5.066,3777546.0,,Buenos Aires
217,2020,2,1356431.0,1.39,1357821.0,,Capital Federal
218,2020,2,47975.0,1.0,47976.0,,Catamarca
219,2020,2,128129.0,3.0,128132.0,,Chaco
220,2020,2,107831.0,825.0,108656.0,,Chubut
221,2020,2,836413.0,55.0,836468.0,,Córdoba
222,2020,2,118863.0,3.0,118866.0,,Corrientes
223,2020,2,234100.0,13.0,234113.0,,Entre Ríos
224,2020,2,47932.0,0.0,47932.0,,Formosa
225,2020,2,94316.0,0.0,94316.0,,Jujuy
226,2020,2,89693.0,116.0,89809.0,,La Pampa
227,2020,2,52152.0,3.0,52155.0,,La Rioja
228,2020,2,200569.0,615.0,201184.0,,Mendoza
229,2020,2,140340.0,0.0,140340.0,,Misiones
230,2020,2,125799.0,373.0,126172.0,,Neuquén
231,2020,2,128985.0,501.0,129486.0,,Río Negro
232,2020,2,177760.0,2.0,177762.0,,Salta
233,2020,2,69521.0,256.0,69777.0,,San Juan
234,2020,2,113804.0,148.0,113952.0,,San Luis
235,2020,2,38672.0,197.0,38869.0,,Santa Cruz
236,2020,2,777795.0,137.0,777932.0,,Santa Fe
237,2020,2,105446.0,1.0,105447.0,,Santiago Del Estero
238,2020,2,38900.0,289.0,39189.0,,Tierra Del Fuego
239,2020,2,217134.0,22.0,217156.0,,Tucumán
240,2020,1,3702985.0,5.066,3708051.0,,Buenos Aires
241,2020,1,1352104.0,1.39,1353494.0,,Capital Federal
242,2020,1,39634.0,1.0,39635.0,,Catamarca
243,2020,1,120274.0,3.0,120277.0,,Chaco
244,2020,1,95938.0,800.0,96738.0,,Chubut
245,2020,1,811044.0,55.0,811099.0,,Córdoba
246,2020,1,113967.0,3.0,113970.0,,Corrientes
247,2020,1,231833.0,13.0,231846.0,,Entre Ríos
248,2020,1,46434.0,0.0,46434.0,,Formosa
249,2020,1,91665.0,0.0,91665.0,,Jujuy
250,2020,1,89110.0,116.0,89226.0,,La Pampa
251,2020,1,48337.0,3.0,48340.0,,La Rioja
252,2020,1,182837.0,615.0,183452.0,,Mendoza
253,2020,1,133552.0,0.0,133552.0,,Misiones
254,2020,1,121354.0,373.0,121727.0,,Neuquén
255,2020,1,125699.0,501.0,126200.0,,Río Negro
256,2020,1,170379.0,2.0,170381.0,,Salta
257,2020,1,63975.0,256.0,64231.0,,San Juan
258,2020,1,110404.0,148.0,110552.0,,San Luis
259,2020,1,38625.0,197.0,38822.0,,Santa Cruz
260,2020,1,770981.0,137.0,771118.0,,Santa Fe
261,2020,1,102754.0,1.0,102755.0,,Santiago Del Estero
262,2020,1,38505.0,289.0,38794.0,,Tierra Del Fuego
263,2020,1,200045.0,22.0,200067.0,,Tucumán
264,2019,4,3681120.0,5.134,3686254.0,,Buenos Aires
265,2019,4,1356695.0,1.41,1358105.0,,Capital Federal
266,2019,4,38310.0,1.0,38311.0,,Catamarca
267,2019,4,117900.0,3.0,117903.0,,Chaco
268,2019,4,95292.0,810.0,96102.0,,Chubut
269,2019,4,806633.0,55.0,806688.0,,Córdoba
270,2019,4,113831.0,3.0,113834.0,,Corrientes
271,2019,4,239017.0,13.0,239030.0,,Entre Ríos
272,2019,4,46711.0,0.0,46711.0,,Formosa
273,2019,4,88881.0,0.0,88881.0,,Jujuy
274,2019,4,90280.0,119.0,90399.0,,La Pampa
275,2019,4,48999.0,3.0,49002.0,,La Rioja
276,2019,4,185157.0,623.0,185780.0,,Mendoza
277,2019,4,135813.0,0.0,135813.0,,Misiones
278,2019,4,116069.0,376.0,116445.0,,Neuquén
