,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab,Periodo
153,2021,1,Jujuy,55.63,,
154,2021,1,La Pampa,81.78,,
155,2021,1,La Rioja,49.81,,
156,2021,1,Mendoza,39.15,,
157,2021,1,Misiones,43.17,,
158,2021,1,Neuquén,66.84,,
159,2021,1,Río Negro,60.88,,
160,2021,1,Salta,53.93,,
161,2021,1,San Juan,39.06,,
162,2021,1,San Luis,81.24,,
163,2021,1,Santa Cruz,41.65,,
164,2021,1,Santa Fe,73.92,,
165,2021,1,Santiago Del Estero,45.67,,
166,2021,1,Tierra Del Fuego,77.35,,
167,2021,1,Tucumán,54.82,,
168,2020,4,Buenos Aires,68.98,,
169,2020,4,Capital Federal,108.31,,
170,2020,4,Catamarca,49.41,,
171,2020,4,Chaco,43.03,,
172,2020,4,Chubut,68.35,,
173,2020,4,Córdoba,78.08,,
174,2020,4,Corrientes,42.43,,
175,2020,4,Entre Ríos,59.47,,
176,2020,4,Formosa,32.49,,
177,2020,4,Jujuy,53.46,,
178,2020,4,La Pampa,81.77,,
179,2020,4,La Rioja,50.11,,
180,2020,4,Mendoza,38.63,,
181,2020,4,Misiones,42.64,,
182,2020,4,Neuquén,67.0,,
183,2020,4,Río Negro,61.09,,
184,2020,4,Salta,54.04,,
185,2020,4,San Juan,36.32,,
186,2020,4,San Luis,81.68,,
187,2020,4,Santa Cruz,37.0,,
188,2020,4,Santa Fe,73.58,,
189,2020,4,Santiago Del Estero,43.75,,
190,2020,4,Tierra Del Fuego,76.27,,
191,2020,4,Tucumán,54.78,,
192,2020,3,Buenos Aires,67.66,,
193,2020,3,Capital Federal,107.68,,
194,2020,3,Catamarca,47.16,,
195,2020,3,Chaco,41.54,,
196,2020,3,Chubut,68.34,,
197,2020,3,Córdoba,75.22,,
198,2020,3,Corrientes,41.75,,
199,2020,3,Entre Ríos,58.19,,
200,2020,3,Formosa,31.91,,
201,2020,3,Jujuy,54.04,,
202,2020,3,La Pampa,79.26,,
203,2020,3,La Rioja,50.12,,
204,2020,3,Mendoza,37.35,,
205,2020,3,Misiones,41.6,,
206,2020,3,Neuquén,65.24,,
207,2020,3,Río Negro,57.05,,
208,2020,3,Salta,52.32,,
209,2020,3,San Juan,38.79,,
210,2020,3,San Luis,79.96,,
211,2020,3,Santa Cruz,35.95,,
212,2020,3,Santa Fe,72.12,,
213,2020,3,Santiago Del Estero,43.38,,
214,2020,3,Tierra Del Fuego,76.81,,
215,2020,3,Tucumán,53.23,,
216,2020,2,Buenos Aires,65.22,,
217,2020,2,Capital Federal,106.41,,
218,2020,2,Catamarca,45.43,,
219,2020,2,Chaco,39.83,,
220,2020,2,Chubut,57.34,,
221,2020,2,Córdoba,72.71,,
222,2020,2,Corrientes,40.3,,
223,2020,2,Entre Ríos,56.54,,
224,2020,2,Formosa,31.14,,
225,2020,2,Jujuy,47.89,,
226,2020,2,La Pampa,76.1,,
227,2020,2,La Rioja,49.84,,
228,2020,2,Mendoza,36.25,,
229,2020,2,Misiones,40.89,,
230,2020,2,Neuquén,63.9,,
231,2020,2,Río Negro,56.37,,
232,2020,2,Salta,51.58,,
233,2020,2,San Juan,35.09,,
234,2020,2,San Luis,78.41,,
235,2020,2,Santa Cruz,35.79,,
236,2020,2,Santa Fe,70.0,,
237,2020,2,Santiago Del Estero,43.47,,
238,2020,2,Tierra Del Fuego,76.37,,
239,2020,2,Tucumán,51.78,,
240,2020,1,Buenos Aires,64.33,,
241,2020,1,Capital Federal,105.98,,
242,2020,1,Catamarca,37.62,,
243,2020,1,Chaco,37.48,,
244,2020,1,Chubut,51.27,,
245,2020,1,Córdoba,70.69,,
246,2020,1,Corrientes,38.73,,
247,2020,1,Entre Ríos,56.12,,
248,2020,1,Formosa,30.23,,
249,2020,1,Jujuy,46.67,,
250,2020,1,La Pampa,75.77,,
251,2020,1,La Rioja,46.35,,
252,2020,1,Mendoza,33.14,,
253,2020,1,Misiones,39.02,,
254,2020,1,Neuquén,61.85,,
255,2020,1,Río Negro,55.12,,
256,2020,1,Salta,49.6,,
257,2020,1,San Juan,32.39,,
258,2020,1,San Luis,76.31,,
259,2020,1,Santa Cruz,35.97,,
260,2020,1,Santa Fe,69.52,,
261,2020,1,Santiago Del Estero,42.47,,
262,2020,1,Tierra Del Fuego,76.07,,
263,2020,1,Tucumán,47.85,,
264,2019,4,Buenos Aires,64.25,,
265,2019,4,Capital Federal,106.25,,
266,2019,4,Catamarca,36.44,,
267,2019,4,Chaco,36.84,,
268,2019,4,Chubut,51.15,,
269,2019,4,Córdoba,70.48,,
270,2019,4,Corrientes,38.77,,
271,2019,4,Entre Ríos,57.99,,
272,2019,4,Formosa,30.47,,
273,2019,4,Jujuy,45.38,,
274,2019,4,La Pampa,76.92,,
275,2019,4,La Rioja,47.14,,
276,2019,4,Mendoza,33.65,,
277,2019,4,Misiones,39.79,,
278,2019,4,Neuquén,59.36,,
279,2019,4,Río Negro,55.71,,
280,2019,4,Salta,50.35,,
281,2019,4,San Juan,32.85,,
282,2019,4,San Luis,74.92,,
283,2019,4,Santa Cruz,36.71,,
284,2019,4,Santa Fe,69.48,,
285,2019,4,Santiago Del Estero,42.92,,
286,2019,4,Tierra Del Fuego,79.7,,
287,2019,4,Tucumán,47.65,,
288,2019,3,Buenos Aires,69.36,,
289,2019,3,Capital Federal,112.65,,
290,2019,3,Catamarca,30.88,,
291,2019,3,Chaco,35.85,,
292,2019,3,Chubut,47.57,,
293,2019,3,Córdoba,68.59,,
294,2019,3,Corrientes,38.49,,
295,2019,3,Entre Ríos,57.9,,
296,2019,3,Formosa,30.11,,
297,2019,3,Jujuy,44.32,,
298,2019,3,La Pampa,77.45,,
299,2019,3,La Rioja,47.94,,
300,2019,3,Mendoza,40.74,,
301,2019,3,Misiones,39.33,,
302,2019,3,Neuquén,64.14,,
303,2019,3,Río Negro,63.42,,
304,2019,3,Salta,44.48,,
305,2019,3,San Juan,37.06,,
306,2019,3,San Luis,85.23,,
307,2019,3,Santa Cruz,35.63,,
308,2019,3,Santa Fe,68.87,,
309,2019,3,Santiago Del Estero,55.3,,
310,2019,3,Tierra Del Fuego,96.46,,
311,2019,3,Tucumán,39.49,,
312,2019,2,Buenos Aires,67.85,,
313,2019,2,Capital Federal,110.55,,
314,2019,2,Catamarca,32.13,,
315,2019,2,Chaco,34.14,,
316,2019,2,Chubut,46.99,,
317,2019,2,Córdoba,68.07,,
318,2019,2,Corrientes,38.16,,
319,2019,2,Entre Ríos,57.48,,
320,2019,2,Formosa,30.42,,
321,2019,2,Jujuy,44.51,,
322,2019,2,La Pampa,77.08,,
323,2019,2,La Rioja,48.7,,
324,2019,2,Mendoza,40.75,,
325,2019,2,Misiones,39.15,,
326,2019,2,Neuquén,63.08,,
327,2019,2,Río Negro,61.09,,
328,2019,2,Salta,41.89,,
329,2019,2,San Juan,35.6,,
330,2019,2,San Luis,81.79,,
331,2019,2,Santa Cruz,28.85,,
332,2019,2,Santa Fe,67.42,,
333,2019,2,Santiago Del Estero,52.79,,
334,2019,2,Tierra Del Fuego,94.8,,
335,2019,2,Tucumán,40.14,,
336,2019,1,Buenos Aires,66.24,,
337,2019,1,Capital Federal,109.2,,
338,2019,1,Catamarca,32.19,,
339,2019,1,Chaco,32.64,,
340,2019,1,Chubut,43.0,,
341,2019,1,Córdoba,65.52,,
342,2019,1,Corrientes,35.13,,
343,2019,1,Entre Ríos,56.79,,
344,2019,1,Formosa,29.68,,
345,2019,1,Jujuy,46.41,,
346,2019,1,La Pampa,76.35,,
347,2019,1,La Rioja,50.18,,
348,2019,1,Mendoza,37.66,,
349,2019,1,Misiones,36.26,,
350,2019,1,Neuquén,58.88,,
351,2019,1,Río Negro,53.57,,
352,2019,1,Salta,40.1,,
353,2019,1,San Juan,31.83,,
354,2019,1,San Luis,67.34,,
355,2019,1,Santa Cruz,23.67,,
356,2019,1,Santa Fe,66.97,,
357,2019,1,Santiago Del Estero,37.52,,
358,2019,1,Tierra Del Fuego,93.38,,
359,2019,1,Tucumán,41.63,,
360,2018,4,Buenos Aires,64.6,,
361,2018,4,Capital Federal,108.27,,
362,2018,4,Catamarca,32.23,,
363,2018,4,Chaco,32.59,,
364,2018,4,Chubut,42.61,,
365,2018,4,Córdoba,65.09,,
366,2018,4,Corrientes,34.57,,
367,2018,4,Entre Ríos,54.37,,
368,2018,4,Formosa,29.74,,
369,2018,4,Jujuy,46.53,,
370,2018,4,La Pampa,73.49,,
371,2018,4,La Rioja,50.35,,
372,2018,4,Mendoza,37.76,,
373,2018,4,Misiones,34.45,,
374,2018,4,Neuquén,59.07,,
375,2018,4,Río Negro,51.86,,
376,2018,4,Salta,39.8,,
377,2018,4,San Juan,31.9,,
378,2018,4,San Luis,67.55,,
379,2018,4,Santa Cruz,23.69,,
380,2018,4,Santa Fe,65.59,,
381,2018,4,Santiago Del Estero,37.4,,
382,2018,4,Tierra Del Fuego,93.59,,
383,2018,4,Tucumán,41.76,,
384,2018,3,Buenos Aires,64.44,,
385,2018,3,Capital Federal,108.45,,
386,2018,3,Catamarca,32.92,,
387,2018,3,Chaco,32.28,,
388,2018,3,Chubut,56.39,,
389,2018,3,Córdoba,64.24,,
390,2018,3,Corrientes,34.25,,
391,2018,3,Entre Ríos,50.22,,
392,2018,3,Formosa,29.58,,
393,2018,3,Jujuy,23.26,,
394,2018,3,La Pampa,71.75,,
395,2018,3,La Rioja,50.73,,
396,2018,3,Mendoza,37.99,,
397,2018,3,Misiones,32.1,,
398,2018,3,Neuquén,60.49,,
399,2018,3,Río Negro,50.54,,
400,2018,3,Salta,39.43,,
401,2018,3,San Juan,33.05,,
402,2018,3,San Luis,52.35,,
403,2018,3,Santa Cruz,32.73,,
404,2018,3,Santa Fe,63.41,,
405,2018,3,Santiago Del Estero,36.25,,
406,2018,3,Tierra Del Fuego,92.77,,
407,2018,3,Tucumán,41.68,,
408,2018,2,Buenos Aires,62.78,,
409,2018,2,Capital Federal,106.53,,
410,2018,2,Catamarca,32.86,,
411,2018,2,Chaco,31.25,,
412,2018,2,Chubut,54.9,,
413,2018,2,Córdoba,63.27,,
414,2018,2,Corrientes,33.81,,
415,2018,2,Entre Ríos,49.2,,
416,2018,2,Formosa,29.43,,
417,2018,2,Jujuy,23.43,,
418,2018,2,La Pampa,71.04,,
419,2018,2,La Rioja,50.98,,
420,2018,2,Mendoza,36.97,,
421,2018,2,Misiones,31.63,,
422,2018,2,Neuquén,60.24,,
423,2018,2,Río Negro,50.15,,
424,2018,2,Salta,39.94,,
425,2018,2,San Juan,32.95,,
426,2018,2,San Luis,15.15,,
427,2018,2,Santa Cruz,33.33,,
428,2018,2,Santa Fe,62.57,,
429,2018,2,Santiago Del Estero,35.26,,
430,2018,2,Tierra Del Fuego,91.61,,
431,2018,2,Tucumán,41.51,,
432,2018,1,Buenos Aires,62.63,,
433,2018,1,Capital Federal,106.24,,
434,2018,1,Catamarca,32.79,,
435,2018,1,Chaco,30.83,,
436,2018,1,Chubut,53.72,,
437,2018,1,Córdoba,63.52,,
438,2018,1,Corrientes,32.66,,
439,2018,1,Entre Ríos,48.68,,
440,2018,1,Formosa,21.4,,
441,2018,1,Jujuy,23.12,,
442,2018,1,La Pampa,71.75,,
443,2018,1,La Rioja,51.44,,
444,2018,1,Mendoza,37.07,,
445,2018,1,Misiones,30.96,,
446,2018,1,Neuquén,61.52,,
447,2018,1,Río Negro,49.82,,
448,2018,1,Salta,39.78,,
449,2018,1,San Juan,32.61,,
450,2018,1,San Luis,15.15,,
451,2018,1,Santa Cruz,33.55,,
452,2018,1,Santa Fe,62.28,,
453,2018,1,Santiago Del Estero,34.99,,
454,2018,1,Tierra Del Fuego,65.2,,
455,2018,1,Tucumán,41.18,,
456,2017,4,Buenos Aires,57.61,,
457,2017,4,Capital Federal,122.9,,
458,2017,4,Catamarca,28.62,,
459,2017,4,Chaco,30.81,,
460,2017,4,Chubut,51.46,,
461,2017,4,Córdoba,63.33,,
462,2017,4,Corrientes,32.52,,
463,2017,4,Entre Ríos,47.89,,
464,2017,4,Formosa,21.27,,
465,2017,4,Jujuy,22.74,,
466,2017,4,La Pampa,71.05,,
467,2017,4,La Rioja,51.57,,
468,2017,4,Mendoza,33.33,,
469,2017,4,Misiones,31.14,,
470,2017,4,Neuquén,61.24,,
471,2017,4,Río Negro,49.38,,
472,2017,4,Salta,39.8,,
473,2017,4,San Juan,30.3,,
474,2017,4,San Luis,10.59,,
475,2017,4,Santa Cruz,28.91,,
476,2017,4,Santa Fe,61.71,,
477,2017,4,Santiago Del Estero,29.13,,
478,2017,4,Tierra Del Fuego,59.89,,
479,2017,4,Tucumán,39.9,,
480,2017,3,Buenos Aires,55.63,,
481,2017,3,Capital Federal,121.86,,
482,2017,3,Catamarca,32.49,,
483,2017,3,Chaco,29.98,,
484,2017,3,Chubut,46.22,,
485,2017,3,Córdoba,62.31,,
486,2017,3,Corrientes,32.17,,
487,2017,3,Entre Ríos,45.96,,
488,2017,3,Formosa,21.35,,
489,2017,3,Jujuy,22.65,,
490,2017,3,La Pampa,69.14,,
491,2017,3,La Rioja,51.47,,
492,2017,3,Mendoza,35.7,,
493,2017,3,Misiones,30.21,,
494,2017,3,Neuquén,60.83,,
495,2017,3,Río Negro,48.52,,
496,2017,3,Salta,39.84,,
497,2017,3,San Juan,32.37,,
498,2017,3,San Luis,15.48,,
499,2017,3,Santa Cruz,33.29,,
500,2017,3,Santa Fe,60.91,,
501,2017,3,Santiago Del Estero,35.12,,
502,2017,3,Tierra Del Fuego,65.74,,
503,2017,3,Tucumán,39.7,,
504,2017,2,Buenos Aires,56.27,,
505,2017,2,Capital Federal,124.06,,
506,2017,2,Catamarca,25.98,,
507,2017,2,Chaco,29.05,,
508,2017,2,Chubut,35.55,,
509,2017,2,Córdoba,58.97,,
510,2017,2,Corrientes,31.39,,
511,2017,2,Entre Ríos,45.39,,
512,2017,2,Formosa,19.97,,
513,2017,2,Jujuy,22.4,,
514,2017,2,La Pampa,63.49,,
515,2017,2,La Rioja,16.2,,
516,2017,2,Mendoza,31.76,,
517,2017,2,Misiones,30.09,,
518,2017,2,Neuquén,61.91,,
519,2017,2,Río Negro,46.02,,
520,2017,2,Salta,32.74,,
521,2017,2,San Juan,26.96,,
522,2017,2,San Luis,9.51,,
523,2017,2,Santa Cruz,26.25,,
524,2017,2,Santa Fe,52.27,,
525,2017,2,Santiago Del Estero,14.12,,
526,2017,2,Tierra Del Fuego,68.46,,
527,2017,2,Tucumán,38.19,,
528,2017,1,Buenos Aires,58.57,,
529,2017,1,Capital Federal,108.37,,
530,2017,1,Catamarca,25.66,,
531,2017,1,Chaco,28.62,,
532,2017,1,Chubut,35.66,,
533,2017,1,Córdoba,57.65,,
534,2017,1,Corrientes,30.94,,
535,2017,1,Entre Ríos,44.91,,
536,2017,1,Formosa,19.84,,
537,2017,1,Jujuy,22.76,,
538,2017,1,La Pampa,62.67,,
539,2017,1,La Rioja,16.2,,
540,2017,1,Mendoza,31.84,,
541,2017,1,Misiones,29.52,,
542,2017,1,Neuquén,61.02,,
543,2017,1,Río Negro,46.03,,
544,2017,1,Salta,32.58,,
545,2017,1,San Juan,27.04,,
546,2017,1,San Luis,9.55,,
547,2017,1,Santa Cruz,26.52,,
548,2017,1,Santa Fe,51.97,,
549,2017,1,Santiago Del Estero,14.7,,
550,2017,1,Tierra Del Fuego,68.92,,
551,2017,1,Tucumán,37.9,,
552,2016,4,Buenos Aires,61.24,,
553,2016,4,Capital Federal,120.63,,
554,2016,4,Catamarca,26.54,,
555,2016,4,Chaco,28.79,,
556,2016,4,Chubut,36.07,,
557,2016,4,Córdoba,57.7,,
558,2016,4,Corrientes,30.98,,
559,2016,4,Entre Ríos,45.21,,
560,2016,4,Formosa,19.85,,
561,2016,4,Jujuy,22.65,,
562,2016,4,La Pampa,63.02,,
563,2016,4,La Rioja,16.46,,
564,2016,4,Mendoza,32.11,,
565,2016,4,Misiones,29.72,,
566,2016,4,Neuquén,60.87,,
567,2016,4,Río Negro,46.39,,
568,2016,4,Salta,32.69,,
569,2016,4,San Juan,27.29,,
570,2016,4,San Luis,9.64,,
571,2016,4,Santa Cruz,27.05,,
572,2016,4,Santa Fe,52.19,,
573,2016,4,Santiago Del Estero,15.07,,
574,2016,4,Tierra Del Fuego,70.31,,
575,2016,4,Tucumán,37.98,,
576,2016,3,Buenos Aires,60.14,,
577,2016,3,Capital Federal,120.77,,
578,2016,3,Catamarca,26.48,,
579,2016,3,Chaco,28.91,,
580,2016,3,Chubut,36.18,,
581,2016,3,Córdoba,58.24,,
582,2016,3,Corrientes,31.07,,
583,2016,3,Entre Ríos,45.44,,
584,2016,3,Formosa,18.64,,
585,2016,3,Jujuy,22.61,,
586,2016,3,La Pampa,61.73,,
587,2016,3,La Rioja,17.07,,
588,2016,3,Mendoza,32.09,,
589,2016,3,Misiones,29.91,,
590,2016,3,Neuquén,60.21,,
591,2016,3,Río Negro,46.39,,
592,2016,3,Salta,32.96,,
593,2016,3,San Juan,27.32,,
594,2016,3,San Luis,9.63,,
595,2016,3,Santa Cruz,26.84,,
596,2016,3,Santa Fe,52.67,,
597,2016,3,Santiago Del Estero,15.33,,
598,2016,3,Tierra Del Fuego,68.94,,
599,2016,3,Tucumán,37.9,,
600,2016,2,Buenos Aires,59.34,,
601,2016,2,Capital Federal,120.04,,
602,2016,2,Catamarca,26.07,,
603,2016,2,Chaco,28.59,,
604,2016,2,Chubut,36.12,,
605,2016,2,Córdoba,57.55,,
606,2016,2,Corrientes,30.58,,
607,2016,2,Entre Ríos,44.74,,
608,2016,2,Formosa,19.37,,
609,2016,2,Jujuy,21.89,,
610,2016,2,La Pampa,60.44,,
611,2016,2,La Rioja,16.88,,
612,2016,2,Mendoza,32.13,,
613,2016,2,Misiones,29.24,,
614,2016,2,Neuquén,59.1,,
615,2016,2,Río Negro,46.24,,
616,2016,2,Salta,32.08,,
617,2016,2,San Juan,27.34,,
618,2016,2,San Luis,9.6,,
619,2016,2,Santa Cruz,26.73,,
620,2016,2,Santa Fe,52.44,,
621,2016,2,Santiago Del Estero,15.89,,
622,2016,2,Tierra Del Fuego,67.72,,
623,2016,2,Tucumán,37.24,,
624,2016,1,Buenos Aires,57.34,,
625,2016,1,Capital Federal,115.16,,
626,2016,1,Catamarca,25.91,,
627,2016,1,Chaco,28.08,,
628,2016,1,Chubut,36.09,,
629,2016,1,Córdoba,55.28,,
630,2016,1,Corrientes,30.08,,
631,2016,1,Entre Ríos,43.85,,
632,2016,1,Formosa,19.04,,
633,2016,1,Jujuy,21.41,,
634,2016,1,La Pampa,57.84,,
635,2016,1,La Rioja,16.83,,
636,2016,1,Mendoza,32.12,,
637,2016,1,Misiones,28.37,,
638,2016,1,Neuquén,55.75,,
639,2016,1,Río Negro,45.84,,
640,2016,1,Salta,31.32,,
641,2016,1,San Juan,27.33,,
642,2016,1,San Luis,9.59,,
643,2016,1,Santa Cruz,26.87,,
644,2016,1,Santa Fe,51.28,,
645,2016,1,Santiago Del Estero,16.21,,
646,2016,1,Tierra Del Fuego,65.83,,
647,2016,1,Tucumán,36.72,,
648,2015,4,Buenos Aires,58.29,,
649,2015,4,Capital Federal,118.13,,
650,2015,4,Catamarca,26.24,,
651,2015,4,Chaco,28.35,,
652,2015,4,Chubut,36.89,,
653,2015,4,Córdoba,57.36,,
654,2015,4,Corrientes,30.34,,
655,2015,4,Entre Ríos,44.11,,
656,2015,4,Formosa,19.07,,
657,2015,4,Jujuy,21.47,,
658,2015,4,La Pampa,58.76,,
659,2015,4,La Rioja,17.32,,
660,2015,4,Mendoza,32.49,,
661,2015,4,Misiones,28.69,,
662,2015,4,Neuquén,58.29,,
663,2015,4,Río Negro,46.44,,
664,2015,4,Salta,31.59,,
665,2015,4,San Juan,27.66,,
666,2015,4,San Luis,9.71,,
667,2015,4,Santa Cruz,27.74,,
668,2015,4,Santa Fe,52.61,,
669,2015,4,Santiago Del Estero,17.0,,
670,2015,4,Tierra Del Fuego,66.46,,
671,2015,4,Tucumán,37.06,,
672,2015,3,Buenos Aires,57.69,,
673,2015,3,Capital Federal,118.29,,
674,2015,3,Catamarca,25.86,,
675,2015,3,Chaco,27.96,,
676,2015,3,Chubut,36.81,,
677,2015,3,Córdoba,57.08,,
678,2015,3,Corrientes,30.17,,
679,2015,3,Entre Ríos,43.68,,
680,2015,3,Formosa,18.84,,
681,2015,3,Jujuy,21.27,,
682,2015,3,La Pampa,57.96,,
683,2015,3,La Rioja,17.15,,
684,2015,3,Mendoza,32.49,,
685,2015,3,Misiones,28.31,,
686,2015,3,Neuquén,54.6,,
687,2015,3,Río Negro,46.39,,
688,2015,3,Salta,31.18,,
689,2015,3,San Juan,27.67,,
690,2015,3,San Luis,9.71,,
691,2015,3,Santa Cruz,27.61,,
692,2015,3,Santa Fe,52.15,,
693,2015,3,Santiago Del Estero,17.12,,
694,2015,3,Tierra Del Fuego,74.86,,
695,2015,3,Tucumán,36.61,,
696,2015,2,Buenos Aires,56.8,,
697,2015,2,Capital Federal,116.07,,
698,2015,2,Catamarca,25.45,,
699,2015,2,Chaco,27.46,,
700,2015,2,Chubut,36.58,,
701,2015,2,Córdoba,55.87,,
702,2015,2,Corrientes,29.58,,
703,2015,2,Entre Ríos,42.93,,
704,2015,2,Formosa,18.36,,
705,2015,2,Jujuy,20.29,,
706,2015,2,La Pampa,56.71,,
707,2015,2,La Rioja,16.88,,
708,2015,2,Mendoza,32.49,,
709,2015,2,Misiones,27.35,,
710,2015,2,Neuquén,53.12,,
711,2015,2,Río Negro,45.98,,
712,2015,2,Salta,30.46,,
713,2015,2,San Juan,27.64,,
714,2015,2,San Luis,9.71,,
715,2015,2,Santa Cruz,27.07,,
716,2015,2,Santa Fe,51.18,,
