,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
3617,CATAMARCA,Ambato,La Puerta,--,--,--,--,SI,--,SI,--,SI
3618,CATAMARCA,Ambato,Las Chacritas,--,--,--,--,--,--,--,--,SI
3619,CATAMARCA,Ambato,Las Juntas,--,--,--,--,SI,--,--,--,--
3620,CATAMARCA,Ambato,Los Castillos,--,--,--,--,--,--,--,--,--
3621,CATAMARCA,Ambato,Los Talas,--,--,--,--,--,--,--,SI,--
3622,CORRIENTES,Saladas,Saladas,SI,--,--,--,SI,SI,SI,--,SI
3623,CORRIENTES,Saladas,San Lorenzo,--,--,--,SI,SI,SI,SI,SI,SI
3624,CORRIENTES,San Cosme,Ingenio Primer Correntino,--,--,--,--,--,--,--,--,--
3625,CORRIENTES,San Cosme,Paso de la Patria,--,--,--,--,SI,SI,SI,SI,SI
3626,CORRIENTES,San Cosme,San Cosme,SI,--,--,--,SI,SI,SI,SI,SI
3627,CORRIENTES,San Cosme,Santa Ana,--,--,--,--,SI,SI,SI,SI,--
3628,CORRIENTES,San Luis del Palmar,San Luis del Palmar,--,--,--,--,SI,SI,SI,--,SI
3629,CORRIENTES,San Martín,Colonia Carlos Pellegrini,--,--,--,--,SI,--,SI,--,--
3630,CORRIENTES,San Martín,Guaviraví,--,--,--,--,SI,--,--,--,--
3631,CORRIENTES,San Martín,La Cruz,SI,--,--,--,SI,SI,SI,--,SI
3632,CORRIENTES,San Martín,Yapeyú,--,--,--,--,SI,SI,SI,--,--
3633,CORRIENTES,San Miguel,Loreto,--,--,--,--,SI,--,SI,SI,SI
3634,CORRIENTES,San Miguel,San Miguel,--,--,--,--,SI,SI,SI,SI,SI
3635,CORDOBA,Santa María,Toledo,SI,--,--,SI,SI,SI,SI,SI,--
3636,CORDOBA,Santa María,Valle Alegre,--,--,--,--,--,--,--,--,--
3637,CORDOBA,Santa María,Valle de Anisacate,--,--,--,--,--,--,--,SI,--
3638,CORDOBA,Santa María,Villa Ciudad de América (Loteo Diego de Rojas),--,--,--,--,SI,SI,SI,SI,--
3639,CORDOBA,Santa María,Villa del Prado,--,--,--,--,--,--,--,SI,--
3640,CORDOBA,Santa María,Villa La Bolsa,--,--,--,--,SI,SI,--,SI,--
3641,CORDOBA,Santa María,Villa Los Aromos,SI,--,--,--,--,--,SI,SI,--
3642,CORDOBA,Santa María,Villa Parque Santa Ana,SI,--,--,--,SI,SI,SI,--,--
3643,CORDOBA,Santa María,Villa San Isidro - José de la Quintana,--,--,--,--,--,--,SI,SI,--
3644,CORDOBA,Santa María,Villa Sierras de Oro,--,--,--,--,SI,SI,--,--,--
3645,CORDOBA,Santa María,Yocsina,--,--,--,--,SI,--,--,--,--
3646,CORDOBA,Sobremonte,Caminiaga,--,--,--,SI,--,--,--,--,--
3647,CORDOBA,Sobremonte,Cerro Colorado,--,--,--,--,--,--,--,--,--
3648,CORDOBA,Sobremonte,Chuña Huasi,--,--,--,--,--,--,--,--,--
3649,CORDOBA,Sobremonte,Pozo Nuevo,--,--,--,--,SI,--,--,--,--
3650,CORDOBA,Sobremonte,San Francisco del Chañar,--,--,--,SI,SI,SI,SI,--,SI
3651,CORDOBA,Tercero Arriba,Almafuerte,SI,SI,--,SI,SI,SI,SI,SI,--
3652,CORDOBA,Tercero Arriba,Colonia Almada,--,--,--,--,SI,--,SI,SI,--
3653,CORDOBA,Tercero Arriba,Corralito,--,--,--,SI,SI,SI,--,SI,SI
3654,CORDOBA,Tercero Arriba,Dalmacio Vélez,--,--,--,SI,SI,SI,SI,--,--
3655,CORDOBA,Tercero Arriba,General Fotheringham,SI,--,--,--,SI,SI,SI,SI,--
3656,CORDOBA,Tercero Arriba,Hernando,SI,SI,--,SI,SI,SI,SI,--,--
3657,CORDOBA,Tercero Arriba,James Craik,SI,SI,--,SI,SI,SI,SI,SI,--
3658,CORDOBA,Tercero Arriba,Las Isletillas,--,--,--,--,SI,--,SI,SI,--
3659,CORDOBA,Tercero Arriba,Las Perdices,SI,--,--,--,SI,SI,SI,SI,SI
3660,CORDOBA,Tercero Arriba,Los Zorros,--,--,--,--,SI,SI,SI,--,--
3661,CORDOBA,Punilla,La Cumbre,SI,--,--,--,SI,SI,SI,SI,--
3662,CORDOBA,Punilla,La Falda,SI,SI,--,SI,SI,SI,SI,SI,--
3663,CORDOBA,Punilla,Las Jarillas,--,--,--,--,--,--,--,SI,--
3664,CORDOBA,Punilla,Los Cocos,SI,--,--,--,SI,SI,SI,SI,--
3665,CORDOBA,Punilla,Mallín,--,--,--,--,--,--,--,--,--
3666,CORDOBA,Punilla,Mayu Sumaj,--,SI,--,--,--,--,SI,SI,--
3667,CORDOBA,Punilla,Quebrada de Luna,--,--,--,--,--,--,--,--,--
3668,CORDOBA,Punilla,San Antonio de Arredondo,--,SI,--,SI,SI,SI,SI,SI,--
3669,CORDOBA,Punilla,San Esteban,SI,--,--,--,--,--,SI,SI,--
3670,CORDOBA,Punilla,San Roque,--,--,--,SI,SI,SI,--,SI,--
3671,CORDOBA,Punilla,San Roque Del Lago,--,--,--,--,--,--,--,--,--
3672,CORDOBA,Punilla,Santa María de Punilla,SI,--,--,SI,SI,SI,SI,SI,--
3673,CORDOBA,Punilla,Tala Huasi,--,--,--,--,SI,SI,--,SI,--
3674,CORDOBA,Punilla,Tanti,--,--,--,--,SI,SI,--,SI,--
3675,CORDOBA,Río Cuarto,Las Albahacas,SI,--,--,--,SI,--,SI,--,--
3676,CORDOBA,Río Cuarto,Las Higueras,SI,SI,--,SI,SI,SI,SI,--,--
3677,CORDOBA,Río Cuarto,Las Peñas,SI,--,--,--,SI,SI,SI,SI,--
3678,CORDOBA,Río Cuarto,Las Vertientes,SI,--,--,SI,SI,SI,SI,--,--
3679,CORDOBA,Río Cuarto,Malena,SI,--,--,--,SI,--,SI,--,--
3680,CORDOBA,Río Cuarto,Monte de los Gauchos,--,--,--,--,SI,--,SI,--,--
3681,CORDOBA,Río Cuarto,Paso del Durazno,--,--,--,--,SI,--,--,--,--
3682,CORDOBA,Río Cuarto,Río Cuarto,SI,SI,SI,SI,SI,SI,SI,SI,SI
3683,CORDOBA,Río Cuarto,Sampacho,SI,--,--,SI,SI,SI,SI,SI,--
3684,CORDOBA,Río Cuarto,San Basilio,SI,--,--,SI,SI,SI,SI,--,SI
3685,CORDOBA,Río Cuarto,Santa Catalina (Est. Holmberg),SI,--,--,--,SI,SI,SI,--,--
3686,CORDOBA,Tercero Arriba,Oliva,SI,--,--,SI,SI,SI,SI,SI,--
3687,CORDOBA,Tercero Arriba,Pampayasta Norte,--,--,--,--,--,--,SI,SI,--
3688,CORDOBA,Tercero Arriba,Pampayasta Sur,--,--,--,SI,SI,SI,--,--,SI
3689,CORDOBA,Tercero Arriba,Punta del Agua,--,--,--,--,SI,--,--,SI,--
3690,CORDOBA,Tercero Arriba,Río Tercero,SI,SI,--,SI,SI,SI,SI,SI,SI
3691,CORDOBA,Tercero Arriba,Tancacha,SI,--,--,--,SI,SI,SI,SI,SI
3692,CORDOBA,Tercero Arriba,Villa Ascasubi,--,--,--,--,SI,SI,SI,SI,--
3693,CORDOBA,Totoral,Candelaria Sur,--,--,--,--,--,--,--,--,--
3694,CORDOBA,Totoral,Cañada de Luque,--,--,--,--,SI,SI,SI,--,--
3695,CORDOBA,Totoral,Capilla de Sitón,--,--,--,--,SI,--,SI,--,--
3696,CORDOBA,Totoral,La Pampa,--,--,--,--,--,--,--,--,--
3697,CORDOBA,Totoral,La Paz,--,--,--,--,--,--,--,--,--
3698,CORDOBA,Totoral,Las Peñas,SI,--,--,--,SI,SI,SI,SI,--
3699,CORDOBA,Totoral,Los Mistoles,--,--,--,--,--,--,--,--,--
3700,CORDOBA,Totoral,Santa Catalina,--,--,--,--,--,--,--,--,--
3701,CORDOBA,Santa María,La Paisanita,SI,--,--,--,SI,--,SI,SI,--
3702,CORDOBA,Santa María,La Perla,--,--,--,--,SI,SI,--,--,--
3703,CORDOBA,Santa María,La Rancherita,--,--,--,--,--,--,--,SI,--
3704,CORDOBA,Santa María,La Serranita,--,--,--,--,SI,SI,SI,SI,--
3705,CORDOBA,Santa María,Los Cedros - Las Quintas,--,--,--,--,SI,SI,SI,--,--
3706,CORDOBA,Santa María,Lozada,--,--,--,--,SI,SI,SI,SI,--
3707,CORDOBA,Santa María,Malagueño,SI,--,--,SI,SI,SI,SI,SI,--
3708,CORDOBA,Santa María,Mi Valle,--,--,--,--,--,--,--,--,--
